#,Keyword,URL,Page title,Status / note
53,museum of the future dubai,https://travelagencyindubai.com/things-to-do/landmarks,Landmarks & views in the UAE,Targeted
54,dubai outlet village,https://travelagencyindubai.com/uae-attractions/dubai/dubai-outlet-village,"Dubai Outlet Village | Discounts, Opening Hours & Getting There",Targeted
55,bluewaters island,https://travelagencyindubai.com/uae-attractions/dubai/dubai-marina-jbr,,Targeted
56,sky view dubai,https://travelagencyindubai.com/things-to-do/landmarks/dubai,,Targeted
57,deluxe experience,https://travelagencyindubai.com/packages,,Targeted
58,main attractions in dubai,https://travelagencyindubai.com/things-to-do/landmarks,Landmarks & views in the UAE,Targeted
59,dolphinarium dubai,https://travelagencyindubai.com/things-to-do/wildlife/dubai,,Targeted
60,dubai night club,https://travelagencyindubai.com/uae-attractions/dubai/dubai-night-clubs,"Dubai Nightclubs | Venues, Door Policy & the Alcohol Rules",Targeted
61,clubs near me,https://travelagencyindubai.com/uae-attractions/dubai/dubai-night-clubs,"Dubai Nightclubs | Venues, Door Policy & the Alcohol Rules",Targeted
62,night clubs near me,https://travelagencyindubai.com/uae-attractions/dubai/dubai-night-clubs,"Dubai Nightclubs | Venues, Door Policy & the Alcohol Rules",Targeted
63,dubai nightlife,https://travelagencyindubai.com/uae-attractions/dubai/dubai-night-clubs,"Dubai Nightclubs | Venues, Door Policy & the Alcohol Rules",Targeted
64,night clubs,https://travelagencyindubai.com/uae-attractions/dubai/dubai-night-clubs,"Dubai Nightclubs | Venues, Door Policy & the Alcohol Rules",Targeted
65,white dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-night-clubs,"Dubai Nightclubs | Venues, Door Policy & the Alcohol Rules",Targeted
66,beach club dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-beach-clubs,"Dubai Beach Clubs | Minimum Spend, Ladies' Days & Rules",Targeted
67,night clubs in dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-night-clubs,"Dubai Nightclubs | Venues, Door Policy & the Alcohol Rules",Targeted
68,clubs in dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-night-clubs,"Dubai Nightclubs | Venues, Door Policy & the Alcohol Rules",Targeted
69,travel agency in dubai deira,https://travelagencyindubai.com/contact,,Targeted
70,dubai tourist attractions,https://travelagencyindubai.com/things-to-do/landmarks,Landmarks & views in the UAE,Targeted
71,famous places in dubai,https://travelagencyindubai.com/things-to-do/landmarks,Landmarks & views in the UAE,Targeted
72,dubai underwater hotel,,,"Single property, and it is not open"
73,dubai united arab emirates,https://travelagencyindubai.com/uae-attractions/dubai,,Targeted
74,tourist in dubai,https://travelagencyindubai.com/uae-attractions/dubai,,Targeted
75,best time to visit dubai,https://travelagencyindubai.com/blog/things-to-do-in-dubai,,Targeted
76,dubai travel agents in dubai,https://travelagencyindubai.com/,,Targeted
77,travel agents for dubai packages,https://travelagencyindubai.com/packages,,Targeted
78,travel agencies in kenya to dubai,,,Outbound agency in another country
79,cozmo travels karama,,,Competitor brand name
80,riya travel dubai,,,Competitor brand name
81,tabeer travel agency dubai,,,Competitor brand name
82,sharaf travel dubai,,,Competitor brand name
83,travel agency hiring in dubai,,,Jobs query — we are not a recruiter
84,good travel agency in dubai,https://travelagencyindubai.com/,,Targeted
85,best tour agency in dubai,https://travelagencyindubai.com/,,Targeted
86,best travel companies in dubai,https://travelagencyindubai.com/,,Targeted
87,top 10 travel agencies in dubai,https://travelagencyindubai.com/,,Targeted
88,top 10 travel companies in dubai,https://travelagencyindubai.com/,,Targeted
89,top ten travel agency in dubai,https://travelagencyindubai.com/,,Targeted
90,deira travel and tourist agency,https://travelagencyindubai.com/contact,,Targeted
91,things to see in dubai,https://travelagencyindubai.com/uae-attractions/dubai,,Targeted
92,dubai tourist places,https://travelagencyindubai.com/uae-attractions/dubai,,Targeted
93,to do in dubai,https://travelagencyindubai.com/blog/things-to-do-in-dubai,,Targeted
94,things to see and do in dubai,https://travelagencyindubai.com/blog/things-to-do-in-dubai,,Targeted
95,places to go out in dubai,https://travelagencyindubai.com/things-to-do/nightlife/dubai,,Targeted
96,places to visit in dubai for free,https://travelagencyindubai.com/uae-attractions/dubai,,Targeted
97,things to do in dubai for free,https://travelagencyindubai.com/uae-attractions/dubai,,Targeted
98,places to go in dubai for free,https://travelagencyindubai.com/uae-attractions/dubai,,Targeted
99,spa in dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-spas-and-hammams,"Spa & Massage in Dubai | Prices, Hammams & Licensed Centres",Targeted
100,home massage dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-spas-and-hammams,"Spa & Massage in Dubai | Prices, Hammams & Licensed Centres",Targeted
101,nikki beach spa dubai,,,Single business — belongs in the directory
102,lavana spa dubai,,,Single business — belongs in the directory
103,ruspa ukrainian and european massage al barsha,,,Single business — belongs in the directory
104,lavana spa al barsha,,,Single business — belongs in the directory
105,cora spa massage center sheikh zayed road dubai,,,Single business — belongs in the directory
106,ajman fish market,https://travelagencyindubai.com/uae-attractions/ajman/ajman-fish-market,"Ajman Fish Market | Times, Prices & the Dhow Yard Next Door",Targeted
107,ajman museum,https://travelagencyindubai.com/uae-attractions/ajman/ajman-fish-market,"Ajman Fish Market | Times, Prices & the Dhow Yard Next Door",Targeted
108,ajman shopping mall,https://travelagencyindubai.com/things-to-do/shopping/ajman,,Targeted
109,fun city safeer mall ajman,https://travelagencyindubai.com/things-to-do/kids/ajman,,Targeted
110,places in fujairah,https://travelagencyindubai.com/uae-attractions/fujairah,,Targeted
111,snoopy island fujairah,https://travelagencyindubai.com/uae-attractions/fujairah/snoopy-island,,Targeted
112,friday market fujairah,https://travelagencyindubai.com/uae-attractions/fujairah/friday-market,"Friday Market Masafi | Carpets, Pottery & Haggling Guide",Targeted
113,fujairah fort,https://travelagencyindubai.com/uae-attractions/fujairah/fujairah-fort,"Fujairah Fort | The UAE's Oldest Fort, Hours & Entry",Targeted
114,fujairah fort fujairah,https://travelagencyindubai.com/uae-attractions/fujairah/fujairah-fort,"Fujairah Fort | The UAE's Oldest Fort, Hours & Entry",Targeted
115,fujairah heritage village,https://travelagencyindubai.com/uae-attractions/fujairah/fujairah-fort,"Fujairah Fort | The UAE's Oldest Fort, Hours & Entry",Targeted
116,adventure park fujairah,https://travelagencyindubai.com/things-to-do/adventure/fujairah,,Targeted
117,al hayl castle fujairah,https://travelagencyindubai.com/uae-attractions/fujairah/al-hayl-castle,Al Hayl Castle Fujairah | Free Wadi Fort & How to Get There,Targeted
118,beach camping in fujairah,https://travelagencyindubai.com/things-to-do/camping/fujairah,,Targeted
119,best beach fujairah,https://travelagencyindubai.com/things-to-do/beaches/fujairah,,Targeted
120,best mandi in fujairah,https://travelagencyindubai.com/things-to-do/dining/fujairah,,Targeted
121,cafes in fujairah,https://travelagencyindubai.com/things-to-do/dining/fujairah,,Targeted
122,camping in fujairah,https://travelagencyindubai.com/things-to-do/camping/fujairah,,Targeted
123,camping places in fujairah,https://travelagencyindubai.com/things-to-do/camping/fujairah,,Targeted
124,camping site in fujairah,https://travelagencyindubai.com/things-to-do/camping/fujairah,,Targeted
125,camping spots in fujairah,https://travelagencyindubai.com/things-to-do/camping/fujairah,,Targeted
126,fujairah beach camping,https://travelagencyindubai.com/things-to-do/camping/fujairah,,Targeted
127,fujairah camping beach,https://travelagencyindubai.com/things-to-do/camping/fujairah,,Targeted
128,fujairah camping site,https://travelagencyindubai.com/things-to-do/camping/fujairah,,Targeted
129,fujairah camping spot,https://travelagencyindubai.com/things-to-do/camping/fujairah,,Targeted
130,things to do in ras al khaimah,https://travelagencyindubai.com/uae-attractions/ras-al-khaimah,,Targeted
131,places to visit in ras al khaimah,https://travelagencyindubai.com/uae-attractions/ras-al-khaimah,,Targeted
132,ras al khaimah tourist places,https://travelagencyindubai.com/uae-attractions/ras-al-khaimah,,Targeted
133,ras al khaimah best place to visit,https://travelagencyindubai.com/uae-attractions/ras-al-khaimah,,Targeted
134,ras al khaimah ghost town,https://travelagencyindubai.com/uae-attractions/ras-al-khaimah/al-jazirah-al-hamra,"Al Jazirah Al Hamra | RAK Ghost Town, Free Entry & Safety",Targeted
135,10 things to do in ras al khaimah,https://travelagencyindubai.com/uae-attractions/ras-al-khaimah,,Targeted
136,best attractions in ras al khaimah,https://travelagencyindubai.com/uae-attractions/ras-al-khaimah,,Targeted
137,best place to eat in ras al khaimah,https://travelagencyindubai.com/things-to-do/dining/ras-al-khaimah,,Targeted
138,ghost town in ras al khaimah,https://travelagencyindubai.com/uae-attractions/ras-al-khaimah/al-jazirah-al-hamra,"Al Jazirah Al Hamra | RAK Ghost Town, Free Entry & Safety",Targeted
139,haunted places in ras al khaimah,https://travelagencyindubai.com/uae-attractions/ras-al-khaimah/al-jazirah-al-hamra,"Al Jazirah Al Hamra | RAK Ghost Town, Free Entry & Safety",Targeted
140,new attraction in ras al khaimah,https://travelagencyindubai.com/uae-attractions/ras-al-khaimah,,Targeted
141,nice place to visit in ras al khaimah,https://travelagencyindubai.com/uae-attractions/ras-al-khaimah,,Targeted
142,places to eat in rak,https://travelagencyindubai.com/things-to-do/dining/ras-al-khaimah,,Targeted
143,al alain uae,https://travelagencyindubai.com/uae-attractions/abu-dhabi,,Targeted
144,alain in uae,https://travelagencyindubai.com/uae-attractions/abu-dhabi,,Targeted
145,things to do in al ain,https://travelagencyindubai.com/uae-attractions/abu-dhabi,,Targeted
146,shopping mall in al ain,https://travelagencyindubai.com/things-to-do/shopping/abu-dhabi,,Targeted
147,al ain farm visit,https://travelagencyindubai.com/uae-attractions/abu-dhabi/al-ain-oasis,,Targeted
148,al ain green mubazzarah park,https://travelagencyindubai.com/uae-attractions/abu-dhabi/green-mubazzarah,"Green Mubazzarah Al Ain | Hot Springs, Chalets & Camping",Targeted
149,al ain hili fun city ticket price,https://travelagencyindubai.com/uae-attractions/abu-dhabi/hili-fun-city,"Hili Fun City Al Ain | Ticket Price, Rides & Opening Hours",Targeted
150,al ain mubazzarah park,https://travelagencyindubai.com/uae-attractions/abu-dhabi/green-mubazzarah,"Green Mubazzarah Al Ain | Hot Springs, Chalets & Camping",Targeted
151,al ain tourist places free,https://travelagencyindubai.com/uae-attractions/abu-dhabi,,Targeted
152,alain fun city ticket price,https://travelagencyindubai.com/uae-attractions/abu-dhabi/hili-fun-city,"Hili Fun City Al Ain | Ticket Price, Rides & Opening Hours",Targeted
153,bawadi mall al ain location,https://travelagencyindubai.com/things-to-do/shopping/abu-dhabi,,Targeted
154,al ain camping site,https://travelagencyindubai.com/things-to-do/camping/abu-dhabi,,Targeted
155,al ain camel market opening hours,https://travelagencyindubai.com/uae-attractions/abu-dhabi/al-ain-camel-market,"Al Ain Camel Market | Opening Hours, What to Expect & Tips",Targeted
156,yas beach abu dhabi,https://travelagencyindubai.com/things-to-do/beaches/abu-dhabi,,Targeted
157,emirates heritage village abu dhabi,https://travelagencyindubai.com/uae-attractions/abu-dhabi/emirates-heritage-village,Heritage Village Abu Dhabi | Free Entry & Skyline Views,Targeted
158,qasr al hosn fort,https://travelagencyindubai.com/uae-attractions/abu-dhabi/qasr-al-hosn,"Qasr Al Hosn Abu Dhabi | Tickets, History & Opening Hours",Targeted
159,places to visit in abu dhabi for free,https://travelagencyindubai.com/uae-attractions/abu-dhabi,,Targeted
160,hidden gems in abu dhabi,https://travelagencyindubai.com/uae-attractions/abu-dhabi,,Targeted
161,abu dhabi top things to do,https://travelagencyindubai.com/uae-attractions/abu-dhabi,,Targeted
162,visiting places abu dhabi,https://travelagencyindubai.com/uae-attractions/abu-dhabi,,Targeted
163,abu dhabi at night,https://travelagencyindubai.com/things-to-do/nightlife/abu-dhabi,,Targeted
164,best bar in abu dhabi,https://travelagencyindubai.com/things-to-do/nightlife/abu-dhabi,,Targeted
165,top sights in abu dhabi,https://travelagencyindubai.com/uae-attractions/abu-dhabi,,Targeted
166,abu dhabi camping,https://travelagencyindubai.com/uae-attractions/abu-dhabi/abu-dhabi-desert-camping,,Targeted
167,abu dhabi camping site,https://travelagencyindubai.com/uae-attractions/abu-dhabi/abu-dhabi-desert-camping,,Targeted
168,abu dhabi cheap shopping,https://travelagencyindubai.com/things-to-do/shopping/abu-dhabi,,Targeted
169,abu dhabi mushrif park,https://travelagencyindubai.com/uae-attractions/abu-dhabi/mushrif-central-park,"Mushrif Central Park Abu Dhabi | Entry Fee, Play Areas & Hours",Targeted
170,abu dhabi view point,https://travelagencyindubai.com/things-to-do/landmarks/abu-dhabi,,Targeted
171,al mina fish market,https://travelagencyindubai.com/uae-attractions/abu-dhabi/mina-zayed-fish-market,"Mina Zayed Fish Market Abu Dhabi | Buy, Cook & Eat Guide",Targeted
172,beach in abu dhabi free,https://travelagencyindubai.com/things-to-do/beaches/abu-dhabi,,Targeted
173,best souk abu dhabi,https://travelagencyindubai.com/uae-attractions/abu-dhabi/emirates-heritage-village,Heritage Village Abu Dhabi | Free Entry & Skyline Views,Targeted
174,best souk in abu dhabi,https://travelagencyindubai.com/uae-attractions/abu-dhabi/mina-zayed-fish-market,"Mina Zayed Fish Market Abu Dhabi | Buy, Cook & Eat Guide",Targeted
175,camping spot in abu dhabi,https://travelagencyindubai.com/uae-attractions/abu-dhabi/abu-dhabi-desert-camping,,Targeted
176,cheapest market in abu dhabi,https://travelagencyindubai.com/things-to-do/souks/abu-dhabi,,Targeted
177,hameem beach abu dhabi,https://travelagencyindubai.com/things-to-do/beaches/abu-dhabi,,Targeted
178,hili archaeological park abu dhabi,https://travelagencyindubai.com/uae-attractions/abu-dhabi/hili-archaeological-park,Hili Archaeological Park Al Ain | Free Bronze Age Site,Targeted
179,jazz bar abu dhabi,https://travelagencyindubai.com/things-to-do/nightlife/abu-dhabi,,Targeted
180,mad yas island nightclub abu dhabi,https://travelagencyindubai.com/things-to-do/nightlife/abu-dhabi,,Targeted
181,mushrif park abu dhabi,https://travelagencyindubai.com/uae-attractions/abu-dhabi/mushrif-central-park,"Mushrif Central Park Abu Dhabi | Entry Fee, Play Areas & Hours",Targeted
182,wathba salt lake,https://travelagencyindubai.com/uae-attractions/abu-dhabi/al-wathba-salt-lake,"Al Wathba Salt Lake & Flamingos | Free, and When It's Pink",Targeted
183,national park sharjah,https://travelagencyindubai.com/uae-attractions/sharjah/arabian-wildlife-centre,Arabian Wildlife Centre Sharjah | Tickets & Desert Park,Targeted
184,sharjah aquarium sharjah,https://travelagencyindubai.com/uae-attractions/sharjah/sharjah-aquarium,"Sharjah Aquarium | Tickets, Opening Hours & What's Inside",Targeted
185,sharjah national park sharjah,https://travelagencyindubai.com/uae-attractions/sharjah/arabian-wildlife-centre,Arabian Wildlife Centre Sharjah | Tickets & Desert Park,Targeted
186,al noor island sharjah,https://travelagencyindubai.com/uae-attractions/sharjah/al-khan-beach,"Al Khan Beach Sharjah | Free Entry, Facilities & Dress Code",Targeted
187,places to visit in sharjah for free,https://travelagencyindubai.com/uae-attractions/sharjah,,Targeted
188,sharjah aquarium tickets,https://travelagencyindubai.com/uae-attractions/sharjah/sharjah-aquarium,"Sharjah Aquarium | Tickets, Opening Hours & What's Inside",Targeted
189,al khan beach sharjah,https://travelagencyindubai.com/uae-attractions/sharjah/al-khan-beach,"Al Khan Beach Sharjah | Free Entry, Facilities & Dress Code",Targeted
190,arabian wildlife center sharjah,https://travelagencyindubai.com/uae-attractions/sharjah/arabian-wildlife-centre,Arabian Wildlife Centre Sharjah | Tickets & Desert Park,Targeted
191,best restaurant in sharjah,https://travelagencyindubai.com/things-to-do/dining/sharjah,,Targeted
192,cafe in sharjah,https://travelagencyindubai.com/things-to-do/dining/sharjah,,Targeted
193,classic cars museum sharjah,https://travelagencyindubai.com/uae-attractions/sharjah/sharjah-classic-cars-museum,Sharjah Classic Cars Museum | AED 10 Entry & Collection,Targeted
194,khorfakkan beach sharjah,https://travelagencyindubai.com/uae-attractions/sharjah/khor-fakkan-beach,"Khor Fakkan Sharjah | Free Beach, Waterfall & Snorkelling",Targeted
195,sharjah fish market,https://travelagencyindubai.com/uae-attractions/sharjah/sharjah-fish-market,"Sharjah Fish Market | Opening Times, Prices & Cook Shops",Targeted
196,sharjah shopping mall,https://travelagencyindubai.com/things-to-do/shopping/sharjah,,Targeted
197,ticket sharjah aquarium,https://travelagencyindubai.com/uae-attractions/sharjah/sharjah-aquarium,"Sharjah Aquarium | Tickets, Opening Hours & What's Inside",Targeted
198,places to visit in sharjah for free with family,https://travelagencyindubai.com/things-to-do/family/sharjah,,Targeted
199,al mamzar beach park sharjah,https://travelagencyindubai.com/uae-attractions/dubai/al-mamzar-beach-park,"Al Mamzar Beach Park Dubai | Entry Fee, Barbecue & Chalets",Targeted
200,al mamzar park sharjah,https://travelagencyindubai.com/uae-attractions/dubai/al-mamzar-beach-park,"Al Mamzar Beach Park Dubai | Entry Fee, Barbecue & Chalets",Targeted
201,al noor island bridge,https://travelagencyindubai.com/uae-attractions/sharjah/al-noor-island,,Targeted
202,best breakfast in sharjah,https://travelagencyindubai.com/things-to-do/dining/sharjah,,Targeted
203,best beach in sharjah,https://travelagencyindubai.com/things-to-do/beaches/sharjah,,Targeted
204,barasti nightclub dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-night-clubs,"Dubai Nightclubs | Venues, Door Policy & the Alcohol Rules",Targeted
205,beach night club dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-beach-clubs,"Dubai Beach Clubs | Minimum Spend, Ladies' Days & Rules",Targeted
206,night club in dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-night-clubs,"Dubai Nightclubs | Venues, Door Policy & the Alcohol Rules",Targeted
207,nammos dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-beach-clubs,"Dubai Beach Clubs | Minimum Spend, Ladies' Days & Rules",Targeted
208,bla bla dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-beach-clubs,"Dubai Beach Clubs | Minimum Spend, Ladies' Days & Rules",Targeted
209,summersalt dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-beach-clubs,"Dubai Beach Clubs | Minimum Spend, Ladies' Days & Rules",Targeted
210,barasti club dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-beach-clubs,"Dubai Beach Clubs | Minimum Spend, Ladies' Days & Rules",Targeted
211,zero gravity club dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-beach-clubs,"Dubai Beach Clubs | Minimum Spend, Ladies' Days & Rules",Targeted
212,jumeirah beach,https://travelagencyindubai.com/uae-attractions/dubai/kite-beach,"Kite Beach Dubai | Free Public Beach, Parking & Watersports",Targeted
213,dubai jumeirah beach,https://travelagencyindubai.com/uae-attractions/dubai/jumeirah-public-beach,Jumeirah Public Beach Dubai | Free Entry & Quiet Sand,Targeted
214,kite beach dubai,https://travelagencyindubai.com/uae-attractions/dubai/kite-beach,"Kite Beach Dubai | Free Public Beach, Parking & Watersports",Targeted
215,al mamzar beach,https://travelagencyindubai.com/uae-attractions/dubai/al-mamzar-beach-park,"Al Mamzar Beach Park Dubai | Entry Fee, Barbecue & Chalets",Targeted
216,jumeirah beach dubai united arab emirates,https://travelagencyindubai.com/uae-attractions/dubai/jumeirah-public-beach,Jumeirah Public Beach Dubai | Free Entry & Quiet Sand,Targeted
217,palm jumeirah island,https://travelagencyindubai.com/uae-attractions/dubai/palm-jumeirah,,Targeted
218,dubai rigga,https://travelagencyindubai.com/uae-attractions/dubai,,Targeted
219,kite beach dubai united arab emirates,https://travelagencyindubai.com/uae-attractions/dubai/kite-beach,"Kite Beach Dubai | Free Public Beach, Parking & Watersports",Targeted
220,centara mirage beach resort dubai,,,Hotel brand
221,hilton dubai jumeirah,,,Hotel brand
222,sofitel dubai jumeirah beach,,,Hotel brand
223,hotel riu dubai,,,Hotel brand
224,radisson beach resort palm jumeirah,,,Hotel brand
225,roda amwaj suites jumeirah beach residence,,,Hotel brand
226,doubletree by hilton dubai jumeirah beach,,,Hotel brand
227,sofitel downtown dubai,,,Hotel brand
228,one and only royal mirage dubai,,,Hotel brand
229,westin dubai mina seyahi,,,Hotel brand
230,four seasons resort dubai at jumeirah beach,,,Hotel brand
231,doubletree hilton dubai,,,Hotel brand
